Step,Price,twap_remaining,twap_cost
1,100.034725,99500.000000,17.362309
2,100.078450,99000.000000,51.439087
3,100.140551,98500.000000,112.274914
4,100.133580,98000.000000,166.008790
5,100.064476,97500.000000,182.108318
6,100.058911,97000.000000,192.742536
7,100.111281,96500.000000,227.183317
8,100.345511,96000.000000,376.563596
9,100.184719,95500.000000,443.654723
10,99.868584,95000.000000,350.983453
11,100.151867,94500.000000,398.214181
12,100.181920,94000.000000,458.890714
13,100.148926,93500.000000,501.579014
14,100.084099,93000.000000,510.429129
15,100.111470,92500.000000,531.553216
16,100.022710,92000.000000,506.959852
17,99.907135,91500.000000,423.280169
18,99.935195,91000.000000,352.299923
19,99.860622,90500.000000,242.757822
20,99.985296,90000.000000,194.209982
21,100.118196,89500.000000,210.772108
22,100.141733,89000.000000,237.814910
23,100.168490,88500.000000,276.951692
24,99.903043,88000.000000,182.220178
25,99.848520,87500.000000,58.991635
26,99.845686,87000.000000,-66.909950
27,99.947726,86500.000000,-143.098239
28,99.883298,86000.000000,-252.722894
29,99.891478,85500.000000,-359.514810
30,99.957653,85000.000000,-434.506923
31,99.965043,84500.000000,-507.060488
32,100.065530,84000.000000,-530.678716
33,100.241023,83500.000000,-467.904210
34,100.552596,83000.000000,-250.780794
35,100.617674,82500.000000,-2.415557
36,100.471521,82000.000000,171.704423
37,100.522139,81500.000000,369.845347
38,100.516589,81000.000000,563.957400
39,100.331165,80500.000000,664.221530
40,100.318405,80000.000000,756.859547
41,100.503975,79500.000000,940.902991
42,100.609443,79000.000000,1176.351544
43,100.615696,78500.000000,1413.664234
44,100.388846,78000.000000,1536.455927
45,100.204431,77500.000000,1565.919193
46,100.171023,77000.000000,1577.450336
47,100.192412,76500.000000,1598.407993
48,100.332187,76000.000000,1687.893987
49,100.587871,75500.000000,1903.769399
50,100.629776,75000.000000,2139.306980
51,100.744888,74500.000000,2431.050168
52,100.876723,74000.000000,2787.344546
53,100.958160,73500.000000,3183.029280
54,100.865042,73000.000000,3530.971067
