ParameterName,ParameterValue,Strategy,NumPaths,MeanImplementationShortfall_Pct,ImplementationShortfallVariance_Pct2,CVaR95ImplementationShortfall_Pct,MeanACObjective_Pct,ACObjectiveVariance_Pct2,CVaR95ACObjective_Pct
ExecutionHorizonDays,0.2500,TWAP,500,0.120877,0.265143,1.189913,0.120878,0.265143,1.189914
ExecutionHorizonDays,0.2500,Heuristic,500,0.127860,0.266069,1.199287,0.127861,0.266069,1.199289
ExecutionHorizonDays,0.2500,Optimal,500,0.228313,0.299455,1.384503,0.228315,0.299455,1.384504
ExecutionHorizonDays,0.2500,AdaptiveOptimal,500,0.228481,0.299501,1.384772,0.228482,0.299501,1.384773
ExecutionHorizonDays,0.5000,TWAP,500,0.017696,0.264560,1.085552,0.017697,0.264560,1.085553
ExecutionHorizonDays,0.5000,Heuristic,500,0.025623,0.265491,1.095884,0.025624,0.265491,1.095885
ExecutionHorizonDays,0.5000,Optimal,500,0.627846,0.503561,2.171966,0.627847,0.503561,2.171967
ExecutionHorizonDays,0.5000,AdaptiveOptimal,500,0.629687,0.504675,2.175498,0.629688,0.504675,2.175499
ExecutionHorizonDays,1.0000,TWAP,500,-0.172985,0.263430,0.892572,-0.172985,0.263430,0.892572
ExecutionHorizonDays,1.0000,Heuristic,500,-0.163317,0.264371,0.904671,-0.163317,0.264371,0.904671
ExecutionHorizonDays,1.0000,Optimal,500,0.955819,0.634946,2.632779,0.955819,0.634946,2.632779
ExecutionHorizonDays,1.0000,AdaptiveOptimal,500,0.958537,0.637013,2.638127,0.958538,0.637013,2.638127
ExecutionHorizonDays,2.0000,TWAP,500,-0.488827,0.261445,0.572663,-0.488826,0.261445,0.572664
ExecutionHorizonDays,2.0000,Heuristic,500,-0.477038,0.262393,0.586910,-0.477038,0.262393,0.586910
ExecutionHorizonDays,2.0000,Optimal,500,0.892122,0.654783,2.588006,0.892122,0.654783,2.588006
ExecutionHorizonDays,2.0000,AdaptiveOptimal,500,0.895447,0.656900,2.594427,0.895447,0.656900,2.594427
