ParameterName,ParameterValue,Strategy,NumPaths,MeanImplementationShortfall_Pct,ImplementationShortfallVariance_Pct2,CVaR95ImplementationShortfall_Pct,MeanACObjective_Pct,ACObjectiveVariance_Pct2,CVaR95ACObjective_Pct
ImpactCoefficient,0.1000,TWAP,500,0.132974,0.265186,1.202094,0.132975,0.265186,1.202095
ImpactCoefficient,0.1000,Heuristic,500,0.139817,0.266111,1.211327,0.139817,0.266111,1.211327
ImpactCoefficient,0.1000,Optimal,500,1.131568,0.636917,2.811184,1.131569,0.636917,2.811184
ImpactCoefficient,0.1000,AdaptiveOptimal,500,1.134094,0.638990,2.816343,1.134095,0.638990,2.816344
ImpactCoefficient,0.5000,TWAP,500,-0.172985,0.263430,0.892572,-0.172985,0.263430,0.892572
ImpactCoefficient,0.5000,Heuristic,500,-0.163317,0.264371,0.904671,-0.163317,0.264371,0.904671
ImpactCoefficient,0.5000,Optimal,500,0.955819,0.634946,2.632779,0.955819,0.634946,2.632779
ImpactCoefficient,0.5000,AdaptiveOptimal,500,0.958537,0.637013,2.638127,0.958538,0.637013,2.638127
ImpactCoefficient,1.0000,TWAP,500,-0.555434,0.261243,0.505670,-0.555434,0.261243,0.505670
ImpactCoefficient,1.0000,Heuristic,500,-0.542235,0.262203,0.521351,-0.542235,0.262203,0.521351
ImpactCoefficient,1.0000,Optimal,500,0.736131,0.632487,2.409773,0.736132,0.632487,2.409773
ImpactCoefficient,1.0000,AdaptiveOptimal,500,0.739091,0.634546,2.415357,0.739091,0.634546,2.415357
ImpactCoefficient,2.0000,TWAP,500,-1.320333,0.256897,-0.268136,-1.320333,0.256897,-0.268135
ImpactCoefficient,2.0000,Heuristic,500,-1.300070,0.257896,-0.245289,-1.300069,0.257896,-0.245289
ImpactCoefficient,2.0000,Optimal,500,0.296757,0.627584,1.963760,0.296758,0.627584,1.963761
ImpactCoefficient,2.0000,AdaptiveOptimal,500,0.300198,0.629627,1.969817,0.300199,0.629627,1.969817
