ParameterName,ParameterValue,Strategy,NumPaths,MeanImplementationShortfall_Pct,ImplementationShortfallVariance_Pct2,CVaR95ImplementationShortfall_Pct,MeanACObjective_Pct,ACObjectiveVariance_Pct2,CVaR95ACObjective_Pct
TradeSlices,25,TWAP,500,-0.645842,0.067573,-0.142226,-0.645842,0.067573,-0.142226
TradeSlices,25,Heuristic,500,-0.648262,0.067934,-0.143032,-0.648262,0.067934,-0.143032
TradeSlices,25,Optimal,500,0.955819,0.634946,2.632779,0.955819,0.634946,2.632779
TradeSlices,25,AdaptiveOptimal,500,0.958537,0.637013,2.638127,0.958538,0.637013,2.638127
TradeSlices,50,TWAP,500,-0.496398,0.131682,0.228420,-0.496398,0.131682,0.228420
TradeSlices,50,Heuristic,500,-0.497043,0.131403,0.226837,-0.497043,0.131403,0.226837
TradeSlices,50,Optimal,500,0.955819,0.634946,2.632779,0.955819,0.634946,2.632779
TradeSlices,50,AdaptiveOptimal,500,0.958537,0.637013,2.638127,0.958538,0.637013,2.638127
TradeSlices,100,TWAP,500,-0.172985,0.263430,0.892572,-0.172985,0.263430,0.892572
TradeSlices,100,Heuristic,500,-0.163317,0.264371,0.904671,-0.163317,0.264371,0.904671
TradeSlices,100,Optimal,500,0.955819,0.634946,2.632779,0.955819,0.634946,2.632779
TradeSlices,100,AdaptiveOptimal,500,0.958537,0.637013,2.638127,0.958538,0.637013,2.638127
TradeSlices,200,TWAP,500,0.428500,0.519962,1.986646,0.428501,0.519962,1.986647
TradeSlices,200,Heuristic,500,0.437852,0.525993,2.005657,0.437853,0.525993,2.005657
TradeSlices,200,Optimal,500,0.955819,0.634946,2.632779,0.955819,0.634946,2.632779
TradeSlices,200,AdaptiveOptimal,500,0.958537,0.637013,2.638127,0.958538,0.637013,2.638127
