ParameterName,ParameterValue,Strategy,NumPaths,MeanImplementationShortfall_Pct,ImplementationShortfallVariance_Pct2,CVaR95ImplementationShortfall_Pct,MeanACObjective_Pct,ACObjectiveVariance_Pct2,CVaR95ACObjective_Pct
Volatility,0.1000,TWAP,500,-1.891718,6.346593,3.443824,-1.891711,6.346593,3.443831
Volatility,0.1000,Heuristic,500,-1.866736,6.372835,3.482569,-1.866729,6.372835,3.482576
Volatility,0.1000,Optimal,500,-1.954377,3.020499,1.597743,-1.954374,3.020499,1.597746
Volatility,0.1000,AdaptiveOptimal,500,-1.952647,3.022386,1.601573,-1.952644,3.022386,1.601576
Volatility,0.2000,TWAP,500,-4.032534,24.239146,6.652034,-4.032507,24.239146,6.652062
Volatility,0.2000,Heuristic,500,-3.988829,24.357035,6.727400,-3.988802,24.357035,6.727427
Volatility,0.2000,Optimal,500,-4.456827,5.851637,0.355377,-4.456821,5.851637,0.355383
Volatility,0.2000,AdaptiveOptimal,500,-4.465203,5.861914,0.351324,-4.465197,5.861914,0.351331
Volatility,0.3000,TWAP,500,-6.164648,52.069627,9.871967,-6.164587,52.069627,9.872028
Volatility,0.3000,Heuristic,500,-6.102656,52.362302,9.987837,-6.102594,52.362302,9.987899
Volatility,0.3000,Optimal,500,-6.644290,8.580731,-0.794479,-6.644279,8.580731,-0.794468
Volatility,0.3000,AdaptiveOptimal,500,-6.661885,8.610581,-0.801184,-6.661875,8.610581,-0.801173
Volatility,0.4000,TWAP,500,-8.287799,88.365519,13.092520,-8.287691,88.365519,13.092629
Volatility,0.4000,Heuristic,500,-8.207924,88.931815,13.253668,-8.207815,88.931815,13.253777
Volatility,0.4000,Optimal,500,-8.560657,11.273874,-1.736418,-8.560643,11.273874,-1.736403
Volatility,0.4000,AdaptiveOptimal,500,-8.586112,11.324079,-1.747193,-8.586098,11.324079,-1.747179
