ImpactCoefficient,Strategy,MeanShortfall_Pct,Shortfall_Variance,CVaR_95_Pct
0.10,Heuristic,-1.359496,75.401202,13.875426
0.10,Optimal,1.576329,7.557543,8.230419
0.10,AdaptiveOptimal,1.531189,7.675529,8.247600
0.50,Heuristic,0.441479,78.246598,15.962123
0.50,Optimal,5.735029,8.277737,12.704334
0.50,AdaptiveOptimal,5.538202,8.362610,12.554151
1.00,Heuristic,2.692698,81.877453,18.570494
1.00,Optimal,10.933404,9.224166,18.296727
1.00,AdaptiveOptimal,10.546969,9.263080,17.937340
2.00,Heuristic,7.195137,89.386195,23.787237
2.00,Optimal,21.330153,11.270980,29.481514
2.00,AdaptiveOptimal,20.564502,11.202745,28.703717
