ParameterName,ParameterValue,Strategy,NumPaths,MeanImplementationShortfall_Pct,ImplementationShortfallVariance_Pct2,CVaR95ImplementationShortfall_Pct,MeanACObjective_Pct,ACObjectiveVariance_Pct2,CVaR95ACObjective_Pct
TradeSlices,25,Heuristic,1,0.576385,0.000000,0.576385,0.576385,0.000000,0.576385
TradeSlices,25,Optimal,1,0.835280,0.000000,0.835280,0.835281,0.000000,0.835281
TradeSlices,25,AdaptiveOptimal,1,0.835280,0.000000,0.835280,0.835281,0.000000,0.835281
TradeSlices,50,Heuristic,1,0.504301,0.000000,0.504301,0.504301,0.000000,0.504301
TradeSlices,50,Optimal,1,0.835280,0.000000,0.835280,0.835281,0.000000,0.835281
TradeSlices,50,AdaptiveOptimal,1,0.835280,0.000000,0.835280,0.835281,0.000000,0.835281
TradeSlices,100,Heuristic,1,0.510537,0.000000,0.510537,0.510537,0.000000,0.510537
TradeSlices,100,Optimal,1,0.835280,0.000000,0.835280,0.835281,0.000000,0.835281
TradeSlices,100,AdaptiveOptimal,1,0.835280,0.000000,0.835280,0.835281,0.000000,0.835281
TradeSlices,200,Heuristic,1,0.940074,0.000000,0.940074,0.940075,0.000000,0.940075
TradeSlices,200,Optimal,1,0.835280,0.000000,0.835280,0.835281,0.000000,0.835281
TradeSlices,200,AdaptiveOptimal,1,0.835280,0.000000,0.835280,0.835281,0.000000,0.835281
