ParameterName,ParameterValue,Strategy,NumPaths,MeanImplementationShortfall_Pct,ImplementationShortfallVariance_Pct2,CVaR95ImplementationShortfall_Pct,MeanACObjective_Pct,ACObjectiveVariance_Pct2,CVaR95ACObjective_Pct
Volatility,0.1000,Heuristic,1,0.469624,0.000000,0.469624,0.469631,0.000000,0.469631
Volatility,0.1000,Optimal,1,1.047360,0.000000,1.047360,1.047363,0.000000,1.047363
Volatility,0.1000,AdaptiveOptimal,1,1.047360,0.000000,1.047360,1.047363,0.000000,1.047363
Volatility,0.2000,Heuristic,1,0.293885,0.000000,0.293885,0.293912,0.000000,0.293912
Volatility,0.2000,Optimal,1,3.526033,0.000000,3.526033,3.526039,0.000000,3.526039
Volatility,0.2000,AdaptiveOptimal,1,3.526033,0.000000,3.526033,3.526039,0.000000,3.526039
Volatility,0.3000,Heuristic,1,-0.016775,0.000000,-0.016775,-0.016714,0.000000,-0.016714
Volatility,0.3000,Optimal,1,6.282210,0.000000,6.282210,6.282220,0.000000,6.282220
Volatility,0.3000,AdaptiveOptimal,1,6.282210,0.000000,6.282210,6.282220,0.000000,6.282220
Volatility,0.4000,Heuristic,1,-0.458092,0.000000,-0.458092,-0.457984,0.000000,-0.457984
Volatility,0.4000,Optimal,1,9.329136,0.000000,9.329136,9.329150,0.000000,9.329150
Volatility,0.4000,AdaptiveOptimal,1,9.329136,0.000000,9.329136,9.329150,0.000000,9.329150
